North Canton,Ohio,Cold
North Canton,Ohio,Cold
North Canton,Ohio,Cold
Westlake,Ohio,Cold
Lorain,Ohio,Cold
Portland,Oregon,Marine
Gettysburg,Pennsylvania,Cold
Gettysburg,Pennsylvania,Cold
Gettysburg,Pennsylvania,Cold
Gettysburg,Pennsylvania,Cold
Pittsburgh,Pennsylvania,Cold
Charlestown,Rhode Island,Cold
Exeter,Rhode Island,Cold
Greenville,South Carolina,Mixed-humid
Greer,South Carolina,Mixed-humid
Greer,South Carolina,Mixed-humid
Greer,South Carolina,Mixed-humid
Greer,South Carolina,Mixed-humid
Greer,South Carolina,Mixed-humid
Johns Island,South Carolina,Hot-humid
Charleston,South Carolina,Mixed-humid
Charleston,South Carolina,Hot-humid
Charleston,South Carolina,Hot-humid
Sioux Falls,South Dakota,Cold
Lewisville,Texas,Hot-humid
Garland,Texas,Hot-humid
Lewisville,Texas,Hot-humid
San Antonio,Texas,Cold
Dallas,Texas,Hot-humid
Houston,Texas,Hot-humid
Aledo,Texas,Hot-humid
Dallas,Texas,Hot-humid
Mineral Wells,Texas,Hot-humid
Houston,Texas,Hot-humid
Double Oak,Texas,Hot-humid
El Paso,Texas,Hot-humid
Dallas,Texas,Hot-humid
Salt Lake City,Utah,Cold
Salt Lake City,Utah,Cold
Salt Lake City,Utah,Cold
Salt Lake City,Utah,Cold
South Salt Lake,Utah,Cold
South Jordan,Utah,Cold
West Jordan,Utah,Cold
Richmond,Virginia,Mixed-humid
Hampton,Virginia,Mixed-humid
Richmond,Virginia,Mixed-humid
Toano,Virginia,Mixed-humid
Charlottesville,Virginia,Mixed-humid
Fayston,Vermont,Cold
Bellingham,Washington,Marine
Custer,Washington,Marine
Seattle,Washington,Marine
Bellingham,Washington,Marine
Oak Harbor,Washington,Marine
Anacortes,Washington,Marine
Coupeville,Washington,Marine
Coupeville,Washington,Marine
Coupeville,Washington,Marine
Coupeville,Washington,Marine
Port Hadlock,Washington,Marine
Snohomish,Washington,Marine
Coupeville,Washington,Marine
Anacortes,Washington,Marine
Seattle,Washington,Marine
Seattle,Washington,Marine
Seattle,Washington,Marine
Seattle,Washington,Marine
Seattle,Washington,Marine
Selah,Washington,Cold
Seattle,Washington,Marine
Bellingham,Washington,Marine
Seattle,Washington,Marine
Seattle,Washington,Marine
Seattle,Washington,Marine
Bellingham,Washington,Marine
Bellingham,Washington,Marine
Seattle,Washington,Marine
Seattle,Washington,Marine
Seattle,Washington,Marine
Bellingham,Washington,Marine
Seattle,Washington,Marine
Bellingham,Washington,Marine
New Berlin ,Wisconsin,Cold
New Berlin,Wisconsin,Cold
NULL,Alaska,NULL
NULL,Arkansas,NULL
NULL,Idaho,NULL
NULL,Indiana,NULL
NULL,Iowa,NULL
NULL,Kansas,NULL
NULL,Kentucky,NULL
NULL,Louisiana,NULL
NULL,Mississippi,NULL
NULL,Missouri,NULL
NULL,Montana,NULL
NULL,North Dakota,NULL
NULL,Oklahoma,NULL
NULL,Tennessee,NULL
NULL,West Virginia,NULL
NULL,Wyoming,NULL
